,,
ImmunizationEvaluation,,
:patient,1..1,Reference
:description,0..1,string
:date,0..1,dateTime
:seriesDoses_x_,0..1,positiveInt
:series,0..1,string
:doseNumber_x_,0..1,positiveInt
:authority,0..1,Reference
:doseStatusReason,0..*,CodeableConcept
:immunizationEvent,1..1,Reference
:status,1..1,code
:identifier,0..*,Identifier
:targetDisease,1..1,CodeableConcept
:doseStatus,1..1,CodeableConcept
,,
Appointment,,
:description,0..1,string
:participant.status,1..1,code
:serviceCategory,0..*,CodeableConcept
:slot,0..*,Reference
:participant.type,0..*,CodeableConcept
:specialty,0..*,CodeableConcept
:cancelationReason,0..1,CodeableConcept
:requestedPeriod,0..*,Period
:participant.required,0..1,code
:patientInstruction,0..1,string
:participant.period,0..1,Period
:start,0..1,instant
:reasonCode,0..*,CodeableConcept
:created,0..1,dateTime
:participant,1..*,
:serviceType,0..*,CodeableConcept
:participant.actor,0..1,Reference
:supportingInformation,0..*,Reference
:priority,0..1,unsignedInt
:appointmentType,0..1,CodeableConcept
:status,1..1,code
:comment,0..1,string
:minutesDuration,0..1,positiveInt
:identifier,0..*,Identifier
:basedOn,0..*,Reference
:end,0..1,instant
:reasonReference,0..*,Reference
,,
StructureMap,,
:group.input.name,1..1,id
:description,0..1,markdown
:group.input.type,0..1,string
:date,0..1,dateTime
:group.rule.target.context,0..1,id
:group.rule.documentation,0..1,string
:group.rule.target.contextType,0..1,code
:group,1..*,
:group.rule.dependent.variable,1..*,string
:publisher,0..1,string
:group.rule.dependent.name,1..1,id
:group.rule.source.variable,0..1,id
:jurisdiction,0..*,CodeableConcept
:group.rule.rule,0..*,See StructureMap.group.rule
:purpose,0..1,markdown
:name,1..1,string
:group.rule.source.check,0..1,string
:group.extends,0..1,id
:group.input,1..*,
:group.rule.source.context,1..1,id
:group.rule.target.parameter.value_x_,1..1,id
:useContext,0..*,UsageContext
:copyright,0..1,markdown
:structure.url,1..1,canonical
:experimental,0..1,boolean
:group.documentation,0..1,string
:group.typeMode,1..1,code
:title,0..1,string
:group.rule.source.type,0..1,string
:group.rule.source.condition,0..1,string
:group.rule.target.listMode,0..*,code
:structure.mode,1..1,code
:structure,0..*,
:group.rule.source.element,0..1,string
:status,1..1,code
:group.rule.source.defaultValue_x_,0..1,*
:group.rule.source.logMessage,0..1,string
:group.rule.source.max,0..1,string
:url,1..1,uri
:group.rule,1..*,
:group.rule.source.min,0..1,integer
:identifier,0..*,Identifier
:group.rule.target.transform,0..1,code
:group.input.documentation,0..1,string
:group.rule.name,1..1,id
:group.rule.target,0..*,
:version,0..1,string
:import,0..*,canonical
:group.rule.target.listRuleId,0..1,id
:contact,0..*,ContactDetail
:group.rule.source.listMode,0..1,code
:group.name,1..1,id
:group.input.mode,1..1,code
:group.rule.dependent,0..*,
:group.rule.target.parameter,0..*,
:structure.documentation,0..1,string
:group.rule.source,1..*,
:group.rule.target.variable,0..1,id
:group.rule.target.element,0..1,string
:structure.alias,0..1,string
,,
CareTeam,,
:category,0..*,CodeableConcept
:participant.onBehalfOf,0..1,Reference
:participant.role,0..*,CodeableConcept
:managingOrganization,0..*,Reference
:encounter,0..1,Reference
:name,0..1,string
:participant.period,0..1,Period
:participant.member,0..1,Reference
:reasonCode,0..*,CodeableConcept
:participant,0..*,
:note,0..*,Annotation
:status,0..1,code
:identifier,0..*,Identifier
:telecom,0..*,ContactPoint
:period,0..1,Period
:subject,0..1,Reference
:reasonReference,0..*,Reference
,,
Linkage,,
:active,0..1,boolean
:author,0..1,Reference
:item,1..*,
:item.type,1..1,code
:item.resource,1..1,Reference
,,
Communication,,
:category,0..*,CodeableConcept
:received,0..1,dateTime
:payload.content_x_,1..1,string
:instantiatesCanonical,0..*,canonical
:payload,0..*,
:instantiatesUri,0..*,uri
:encounter,0..1,Reference
:medium,0..*,CodeableConcept
:recipient,0..*,Reference
:reasonCode,0..*,CodeableConcept
:statusReason,0..1,CodeableConcept
:topic,0..1,CodeableConcept
